  0.9667000     -0.8159000
  4.7605249E-06  8.8898487E-02  1.2052270E-16
  4.8101078E-06  8.9793429E-02  1.2557954E-16
  4.8602074E-06  9.0697363E-02  1.3084856E-16
  4.9108294E-06  9.1610394E-02  1.3633871E-16
  4.9619780E-06  9.2532672E-02  1.4205923E-16
  5.0136596E-06  9.3464188E-02  1.4801972E-16
  5.0658791E-06  9.4405062E-02  1.5423029E-16
  5.1186430E-06  9.5355436E-02  1.6070147E-16
  5.1719558E-06  9.6315362E-02  1.6744409E-16
  5.2258247E-06  9.7284980E-02  1.7446974E-16
  5.2802543E-06  9.8264351E-02  1.8179017E-16
  5.3352501E-06  9.9253535E-02  1.8941754E-16
  5.3908202E-06  0.1002527      1.9736508E-16
  5.4469683E-06  0.1012619      2.0564619E-16
  5.5037008E-06  0.1022813      2.1427463E-16
  5.5610249E-06  0.1033110      2.2326521E-16
  5.6189460E-06  0.1043510      2.3263297E-16
  5.6774697E-06  0.1054015      2.4239365E-16
  5.7366037E-06  0.1064626      2.5256397E-16
  5.7963530E-06  0.1075343      2.6316104E-16
  5.8567243E-06  0.1086169      2.7420264E-16
  5.9177260E-06  0.1097103      2.8570763E-16
  5.9793620E-06  0.1108148      2.9769526E-16
  6.0416396E-06  0.1119303      3.1018579E-16
  6.1045662E-06  0.1130571      3.2320072E-16
  6.1681490E-06  0.1141953      3.3676167E-16
  6.2323925E-06  0.1153448      3.5089107E-16
  6.2973063E-06  0.1165060      3.6561391E-16
  6.3628963E-06  0.1176789      3.8095437E-16
  6.4291689E-06  0.1188635      3.9693822E-16
  6.4961318E-06  0.1200601      4.1359290E-16
  6.5637919E-06  0.1212687      4.3094630E-16
  6.6321577E-06  0.1224895      4.4902805E-16
  6.7012347E-06  0.1237226      4.6786823E-16
  6.7710316E-06  0.1249681      4.8749891E-16
  6.8415552E-06  0.1262262      5.0795327E-16
  6.9128137E-06  0.1274969      5.2926615E-16
  6.9848138E-06  0.1287804      5.5147282E-16
  7.0575643E-06  0.1300768      5.7461132E-16
  7.1310715E-06  0.1313863      5.9872063E-16
  7.2053463E-06  0.1327090      6.2384220E-16
  7.2803932E-06  0.1340449      6.5001700E-16
  7.3562219E-06  0.1353943      6.7729014E-16
  7.4328409E-06  0.1367573      7.0570788E-16
  7.5102580E-06  0.1381340      7.3531788E-16
  7.5884809E-06  0.1395246      7.6617021E-16
  7.6675187E-06  0.1409292      7.9831691E-16
  7.7473796E-06  0.1423479      8.3181272E-16
  7.8280718E-06  0.1437809      8.6671333E-16
  7.9096062E-06  0.1452284      9.0307953E-16
  7.9919892E-06  0.1466903      9.4097038E-16
  8.0752279E-06  0.1481671      9.8045133E-16
  8.1593362E-06  0.1496587      1.0215893E-15
  8.2443203E-06  0.1511653      1.0644532E-15
  8.3301884E-06  0.1526870      1.1091150E-15
  8.4169515E-06  0.1542241      1.1556505E-15
  8.5046186E-06  0.1557766      1.2041393E-15
  8.5931988E-06  0.1573449      1.2546629E-15
  8.6827004E-06  0.1589288      1.3073055E-15
  8.7731360E-06  0.1605288      1.3621577E-15
  8.8645129E-06  0.1621449      1.4193113E-15
  8.9568402E-06  0.1637771      1.4788613E-15
  9.0501308E-06  0.1654258      1.5409114E-15
  9.1443917E-06  0.1670911      1.6055642E-15
  9.2396349E-06  0.1687732      1.6729301E-15
  9.3358713E-06  0.1704722      1.7431232E-15
  9.4331090E-06  0.1721883      1.8162606E-15
  9.5313590E-06  0.1739218      1.8924671E-15
  9.6306330E-06  0.1756726      1.9718713E-15
  9.7309412E-06  0.1774410      2.0546059E-15
  9.8322935E-06  0.1792274      2.1408125E-15
  9.9347017E-06  0.1810316      2.2306369E-15
  1.0038177E-05  0.1828540      2.3242292E-15
  1.0142729E-05  0.1846949      2.4217491E-15
  1.0248371E-05  0.1865541      2.5233605E-15
  1.0355113E-05  0.1884322      2.6292352E-15
  1.0462966E-05  0.1903291      2.7395517E-15
  1.0571944E-05  0.1922451      2.8544968E-15
  1.0682056E-05  0.1941804      2.9742670E-15
  1.0793315E-05  0.1961351      3.0990583E-15
  1.0905733E-05  0.1981097      3.2290906E-15
  1.1019321E-05  0.2001040      3.3645750E-15
  1.1134093E-05  0.2021185      3.5057459E-15
  1.1250061E-05  0.2041532      3.6528410E-15
  1.1367234E-05  0.2062082      3.8061006E-15
  1.1485629E-05  0.2082841      3.9657947E-15
  1.1605259E-05  0.2103810      4.1321956E-15
  1.1726134E-05  0.2124989      4.3055739E-15
  1.1848267E-05  0.2146381      4.4862257E-15
  1.1971673E-05  0.2167988      4.6744576E-15
  1.2096361E-05  0.2189811      4.8705813E-15
  1.2222354E-05  0.2211857      5.0749462E-15
  1.2349655E-05  0.2234123      5.2878776E-15
  1.2478284E-05  0.2256613      5.5097456E-15
  1.2608251E-05  0.2279330      5.7409225E-15
  1.2739573E-05  0.2302277      5.9818030E-15
  1.2872262E-05  0.2325453      6.2327856E-15
  1.3006332E-05  0.2348864      6.4942982E-15
  1.3141800E-05  0.2372509      6.7667853E-15
  1.3278678E-05  0.2396392      7.0507010E-15
  1.3416983E-05  0.2420518      7.3465387E-15
  1.3556729E-05  0.2444885      7.6547858E-15
  1.3697928E-05  0.2469497      7.9759587E-15
  1.3840597E-05  0.2494356      8.3106070E-15
  1.3984754E-05  0.2519466      8.6593034E-15
  1.4130413E-05  0.2544830      9.0226297E-15
  1.4277589E-05  0.2570448      9.4012026E-15
  1.4426297E-05  0.2596325      9.7956540E-15
  1.4576554E-05  0.2622462      1.0206659E-14
  1.4728374E-05  0.2648861      1.0634902E-14
  1.4881778E-05  0.2675526      1.1081118E-14
  1.5036780E-05  0.2702460      1.1546057E-14
  1.5193396E-05  0.2729667      1.2030514E-14
  1.5351643E-05  0.2757145      1.2535282E-14
  1.5511538E-05  0.2784902      1.3061238E-14
  1.5673095E-05  0.2812935      1.3609241E-14
  1.5836340E-05  0.2841254      1.4180262E-14
  1.6001284E-05  0.2869856      1.4775240E-14
  1.6167945E-05  0.2898746      1.5395171E-14
  1.6336344E-05  0.2927928      1.6041125E-14
  1.6506496E-05  0.2957402      1.6714174E-14
  1.6678419E-05  0.2987174      1.7415468E-14
  1.6852129E-05  0.3017244      1.8146161E-14
  1.7027654E-05  0.3047619      1.8907541E-14
  1.7205008E-05  0.3078299      1.9700863E-14
  1.7384205E-05  0.3109289      2.0527474E-14
  1.7565271E-05  0.3140589      2.1388756E-14
  1.7748223E-05  0.3172204      2.2286186E-14
  1.7933076E-05  0.3204138      2.3221242E-14
  1.8119859E-05  0.3236394      2.4195562E-14
  1.8308589E-05  0.3268972      2.5210743E-14
  1.8499280E-05  0.3301881      2.6268533E-14
